/home/steve/Self Driving Car/data/IMG/center_2019_06_02_11_21_56_169.jpg, /home/steve/Self Driving Car/data/IMG/left_2019_06_02_11_21_56_169.jpg, /home/steve/Self Driving Car/data/IMG/right_2019_06_02_11_21_56_169.jpg, 0, 0, 0, 7.905101E-05
/home/steve/Self Driving Car/data/IMG/center_2019_06_02_11_21_56_269.jpg, /home/steve/Self Driving Car/data/IMG/left_2019_06_02_11_21_56_269.jpg, /home/steve/Self Driving Car/data/IMG/right_2019_06_02_11_21_56_269.jpg, 0, 0, 0, 8.383848E-05
/home/steve/Self Driving Car/data/IMG/center_2019_06_02_11_21_56_403.jpg, /home/steve/Self Driving Car/data/IMG/left_2019_06_02_11_21_56_403.jpg, /home/steve/Self Driving Car/data/IMG/right_2019_06_02_11_21_56_403.jpg, 0, 0, 0, 8.01474E-05
/home/steve/Self Driving Car/data/IMG/center_2019_06_02_11_21_56_505.jpg, /home/steve/Self Driving Car/data/IMG/left_2019_06_02_11_21_56_505.jpg, /home/steve/Self Driving Car/data/IMG/right_2019_06_02_11_21_56_505.jpg, 0, 0, 0, 7.976488E-05
/home/steve/Self Driving Car/data/IMG/center_2019_06_02_11_21_56_638.jpg, /home/steve/Self Driving Car/data/IMG/left_2019_06_02_11_21_56_638.jpg, /home/steve/Self Driving Car/data/IMG/right_2019_06_02_11_21_56_638.jpg, 0, 0, 0, 7.83271E-05
/home/steve/Self Driving Car/data/IMG/center_2019_06_02_11_21_56_772.jpg, /home/steve/Self Driving Car/data/IMG/left_2019_06_02_11_21_56_772.jpg, /home/steve/Self Driving Car/data/IMG/right_2019_06_02_11_21_56_772.jpg, 0, 0, 0, 7.837143E-05
/home/steve/Self Driving Car/data/IMG/center_2019_06_02_11_21_56_909.jpg, /home/steve/Self Driving Car/data/IMG/left_2019_06_02_11_21_56_909.jpg, /home/steve/Self Driving Car/data/IMG/right_2019_06_02_11_21_56_909.jpg, 0, 0, 0, 7.902667E-05
/home/steve/Self Driving Car/data/IMG/center_2019_06_02_11_21_57_064.jpg, /home/steve/Self Driving Car/data/IMG/left_2019_06_02_11_21_57_064.jpg, /home/steve/Self Driving Car/data/IMG/right_2019_06_02_11_21_57_064.jpg, 0, 0.3873632, 0, 0.4389837
/home/steve/Self Driving Car/data/IMG/center_2019_06_02_11_21_57_197.jpg, /home/steve/Self Driving Car/data/IMG/left_2019_06_02_11_21_57_197.jpg, /home/steve/Self Driving Car/data/IMG/right_2019_06_02_11_21_57_197.jpg, 0, 0.7894893, 0, 1.328392
/home/steve/Self Driving Car/data/IMG/center_2019_06_02_11_21_57_308.jpg, /home/steve/Self Driving Car/data/IMG/left_2019_06_02_11_21_57_308.jpg, /home/steve/Self Driving Car/data/IMG/right_2019_06_02_11_21_57_308.jpg, 0, 1, 0, 2.950135
/home/steve/Self Driving Car/data/IMG/center_2019_06_02_11_21_57_442.jpg, /home/steve/Self Driving Car/data/IMG/left_2019_06_02_11_21_57_442.jpg, /home/steve/Self Driving Car/data/IMG/right_2019_06_02_11_21_57_442.jpg, 0, 1, 0, 4.596813
/home/steve/Self Driving Car/data/IMG/center_2019_06_02_11_21_57_574.jpg, /home/steve/Self Driving Car/data/IMG/left_2019_06_02_11_21_57_574.jpg, /home/steve/Self Driving Car/data/IMG/right_2019_06_02_11_21_57_574.jpg, 0, 1, 0, 5.987348
/home/steve/Self Driving Car/data/IMG/center_2019_06_02_11_21_57_709.jpg, /home/steve/Self Driving Car/data/IMG/left_2019_06_02_11_21_57_709.jpg, /home/steve/Self Driving Car/data/IMG/right_2019_06_02_11_21_57_709.jpg, 0, 1, 0, 7.589312
/home/steve/Self Driving Car/data/IMG/center_2019_06_02_11_21_57_843.jpg, /home/steve/Self Driving Car/data/IMG/left_2019_06_02_11_21_57_843.jpg, /home/steve/Self Driving Car/data/IMG/right_2019_06_02_11_21_57_843.jpg, 0, 1, 0, 9.169544
/home/steve/Self Driving Car/data/IMG/center_2019_06_02_11_21_57_978.jpg, /home/steve/Self Driving Car/data/IMG/left_2019_06_02_11_21_57_978.jpg, /home/steve/Self Driving Car/data/IMG/right_2019_06_02_11_21_57_978.jpg, 0, 1, 0, 10.72817
/home/steve/Self Driving Car/data/IMG/center_2019_06_02_11_21_58_108.jpg, /home/steve/Self Driving Car/data/IMG/left_2019_06_02_11_21_58_108.jpg, /home/steve/Self Driving Car/data/IMG/right_2019_06_02_11_21_58_108.jpg, 0, 1, 0, 12.1779
/home/steve/Self Driving Car/data/IMG/center_2019_06_02_11_21_58_218.jpg, /home/steve/Self Driving Car/data/IMG/left_2019_06_02_11_21_58_218.jpg, /home/steve/Self Driving Car/data/IMG/right_2019_06_02_11_21_58_218.jpg, 0, 1, 0, 13.23257
